evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.1775,2.846408718011407,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.17999999999999997,2.57963504577675,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.17333333333333334,4.096162830852231,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.17500000000000002,3.996491984910118,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.15916666666666665,5.3666726503404645,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.1633333333333333,5.997045724422523,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.18999999999999997,2.2055218276996387,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.18999999999999997,1.7983889523656629,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1758333333333333,2.5253781809226026,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.18833333333333335,3.37525217008003,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.15,3.7007845407020317,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.16249999999999998,3.3426176872280124,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.14083333333333334,2.949832956314315,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.145,4.77292334756655,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.13583333333333333,1.3853310853460812,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.14333333333333334,4.268977400052813,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.10999999999999999,1.6463144759736765,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.1425,1.9019050990118274,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.1791666666666667,0.7220086775778961,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.15999999999999995,-0.8088405279146355,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1725,1.9049113913392128,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.16916666666666666,0.7145615455251688,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.1708333333333333,5.255798659760281,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.17500000000000002,3.0516631018676343,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.1608333333333333,1.9732684561228433,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.15083333333333326,1.694312160876304,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1516666666666666,2.36327545373743,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.1491666666666666,4.035474011242221,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.13499999999999998,2.3465978183696254,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.14166666666666666,4.708158237675316,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.15499999999999994,3.618753776990216,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.15666666666666662,2.881861310929409,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1541666666666666,5.011839863190223,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.15916666666666665,3.0877615765398687,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.13749999999999998,3.710790511916334,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.14,5.722744404236949,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.18999999999999997,0.3481620496515347,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.18999999999999997,-0.303043645043145,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.17666666666666667,1.9207725996151546,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.1775,2.2954179405082153,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.14166666666666666,3.458277989074523,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.15333333333333335,4.794593292549636,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.18999999999999997,1.218374394974642,08pnxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.18999999999999997,0.8566144781443531,08pnxm,eeg001,lexdec,0,
